"ID" "ATX1_ChIP8TSS" "ATX2_ChIP8TSS" "ATXR7_ChIP8TES" "ATX1_ChIP7TSS" "ATX2_ChIP7TSS" "ATXR7_soiTES"
"250" "AT1G03365" 9.33305 14.79655 13.41809 11.41471 19.19001 9.0139
"251" "AT1G03370" 5.96294 9.71504 15.32809 5.13124 9.58184 45.94742
"252" "AT1G03380" 4.18324 4.12034 17.41324 4.99283 6.01003 14.74629
"253" "AT1G03390" 1.14395 1.18353 13.24304 2.12454 1.8291 10.57796
"254" "AT1G03400" -1.07455 3.75599 12.11289 -0.27201 4.23817 12.6654
"255" "AT1G03410" 1.23047 3.92354 1.942 2.34483 7.89274 4.28764
"257" "AT1G03430" 3.82798 7.11599 12.28804 3.87927 9.88667 6.09671
"258" "AT1G03440" 0.618710000000001 2.20538 0.81191 0.425799999999999 3.85087 4.49449
"259" "AT1G03445" -1.40325 -1.34559 1.43267 -1.14072 -1.52026 2.81708
"260" "AT1G03457" 1.13691 3.94864 2.11709 1.70978 5.09595 4.86803
"261" "AT1G03470" 5.44159 8.22479 1.08248 3.30077 6.01011 8.8909
"262" "AT1G03475" 5.08148 6.80678 31.03816 3.93585 6.75795 21.26383
"263" "AT1G03490" 1.02705 1.31739 2.08523 -0.80695 -0.52399 1.40275
"264" "AT1G03495" -0.66383 -0.75477 0.89139 1.06849 0.91462 2.372566
"265" "AT1G03510" 4.3399 7.6783 0.73232 0.90376 5.51235 3.35286
"266" "AT1G03520" 5.53064 11.37054 13.73649 6.60301 13.20921 10.9405
"267" "AT1G03530" 7.63719 7.34069 7.22644 4.07426 6.50866 6.27646
"268" "AT1G03540" 6.81599 6.62359 2.40359 3.06802 8.3083 2.20162
"270" "AT1G03550" 0.96344 0.76981 2.06934 1.4325 2.57687 2.50568
"271" "AT1G03560" 2.56208 4.03974 4.50459 5.31365 5.98225 2.98155
"273" "AT1G03590" 3.40874 5.67684 15.56683 4.0431 11.10464 8.79234
"274" "AT1G03600" 0.57634 1.43799 9.07285 -0.10869 1.66331 7.2918
"275" "AT1G03610" 1.72383 3.51113 29.06444 5.05602 4.07143 81.74314
"276" "AT1G03620" -0.30307 -0.9134 4.20217 0.75337 -0.91213 6.91824
"277" "AT1G03630" 2.785 10.7537 11.82639 6.14986 12.32336 5.42134
"278" "AT1G03650" 4.04545 5.24075 2.05343 0.95452 6.84087 2.48307
"279" "AT1G03660" 0.475460000000001 0.98703 -0.79567 0.872210000000001 0.556190000000001 1.19449
"280" "AT1G03670" 1.32747 1.93069 -1.19365 -0.45447 0.63866 -1.52452
"281" "AT1G03680" 2.13578 4.60534 51.04581 3.84818 5.40066 20.57973
"282" "AT1G03687" 4.64379 6.00919 1.41674 5.04312 7.14532 1.79526
"283" "AT1G03700" 1.62145 -0.51538 -2.68982 0.891310000000001 -2.51759 0.52421
"284" "AT1G03710" -0.9861 0.79538 -0.28641 -3.02102 -2.48986 0.47447
"285" "AT1G03720" -0.96319 -2.59742 0.36619 0.70931 -2.21347 -0.23086
"286" "AT1G03730" 1.26774 0.65408 3.42226 2.01774 2.93651 3.48511
"287" "AT1G03740" 3.76929 1.56828 28.58694 6.63508 5.56634 38.83061
"288" "AT1G03750" 6.80064 9.30294 6.86029 5.06752 7.50602 5.66468
"289" "AT1G03760" 7.38554 9.55764 6.28729 1.43821 11.52101 4.51569
"290" "AT1G03770" 1.94029 3.73061 2.89698 4.54022 2.82546 2.95301
"291" "AT1G03780" 4.41705 2.51534 3.26307 1.06755 2.46622 2.42458
"292" "AT1G03790" -1.21436 -0.531400000000001 -1.97356 -2.07754 -1.54844 -1.27897
"293" "AT1G03800" -0.48314 1.01293 0.620900000000001 0.82857 2.05089 2.33612
"294" "AT1G03810" -1.4332 -3.39509 -1.19366 -0.44777 -1.82611 0.30492
"295" "AT1G03820" -0.359190000000001 -2.6727 -1.08224 -2.61825 -1.90865 -0.04521
"296" "AT1G03830" 5.42385 7.99765 6.49424 7.35771 13.26451 3.17317
"297" "AT1G03840" -2.21816 -2.21899 -0.60472 0.49571 -0.88469 0.74716
"298" "AT1G03850" -2.10214 -2.12949 -0.90709 0.520149999999999 -2.0745 -1.01502
"299" "AT1G03860" 5.89384 6.51404 16.45824 7.83569 7.17309 8.85451
"300" "AT1G03870" 1.44244 2.27935 2.99253 -3.75759 -0.2463 3.49246
"301" "AT1G03880" -2.10169 -3.74892 -1.92581 -0.39749 -1.5215 -1.91704
"302" "AT1G03890" -0.23647 -1.39592 -0.82755 -3.3352 -2.49022 -0.27833
"303" "AT1G03900" 0.14659 2.5291 12.82913 1.72846 4.21012 9.92381
"304" "AT1G03905" 6.64689 10.30019 2.06934 0.180200000000001 7.8939 6.17416
"305" "AT1G03910" 6.36039 7.31279 30.59244 2.8094 4.4604 22.1673
"306" "AT1G03920" -1.50879 -1.31693 -1.4483 -0.743749999999999 -0.30284 -3.34661
"307" "AT1G03930" 3.01623 3.52474 15.15304 4.52777 6.86794 8.93696
"308" "AT1G03940" 4.25861 5.9326 1.28931 3.99281 4.37625 2.37625
"309" "AT1G03950" 5.27589 5.21361 8.37242 4.57183 9.16605 10.13714
"310" "AT1G03960" 2.70428 3.13107 7.64024 4.28256 5.89868 7.03011
