ID	WT1	WT2	atx345_1	atx345_2	
AT1G07540	0	0	0	0
AT1G04593	0	0	0	0
AT1G07550	0	0	0	0
AT1G07560	0	0	0	0
AT1G07570	126	126	98	181
AT1G04597	0	0	0	0
AT1G07580	0	0	0	0
AT1G07590	1091	718	625	784
AT1G07600	0	0	0	0
AT1G04603	0	0	0	0
AT1G07610	79	78	86	137
AT1G07615	24	13	36	58
AT1G07620	5	4	17	34
AT1G04607	0	0	0	0
AT1G07630	39	88	200	201
AT1G07640	238	170	110	190
AT1G07650	81	131	298	287
AT1G07645	0	0	0	0
AT1G07660	152	97	149	178
AT1G07670	112	189	425	425
AT1G07680	0	0	0	0
AT1G07690	0	0	0	0
AT1G07700	587	399	296	446
AT1G07705	81	79	168	159
AT1G07702	0	0	0	0
AT1G07710	1	1	3	2
AT1G07720	257	153	92	250
AT1G04623	0	0	0	0
AT1G07725	0	0	0	0
AT1G07728	0	0	0	0
AT1G07740	6	6	9	18
AT1G07730	0	0	0	0
AT1G07745	21	32	28	24
AT1G07747	0	0	0	0
AT1G07750	317	202	198	191
AT1G07760	0	0	0	0
AT1G07770	2817	1047	2014	2005
AT1G07780	49	21	33	38
AT1G07790	85	17	68	79
AT1G07795	0	0	0	1
AT1G07800	0	0	0	0
AT1G07810	81	157	300	312
AT1G07820	434	270	407	516
AT1G07830	81	61	146	149
AT1G07840	44	16	41	54
AT1G07850	0	0	0	0
AT1G07870	33	25	24	58
AT1G07860	0	0	0	0
AT1G07880	17	12	9	17
AT1G07885	0	0	0	0
AT1G07890	6327	4855	5007	7305
AT1G07900	10	10	13	45
AT1G07902	12	10	8	6
AT1G07901	2	0	2	2
AT1G07910	10	16	55	38
AT1G07920	842	662	1806	2312
AT1G07930	550	550	1822	2354
AT1G07940	514	413	1240	1545
AT1G07950	50	62	76	75
AT1G07960	107	63	78	111
AT1G07970	35	34	89	110
AT1G07980	25	16	29	35
AT1G07985	1	2	11	6
AT1G07990	64	47	133	176
AT1G08000	19	22	30	53
AT1G08005	0	0	0	0
AT1G08010	37	36	47	70
